Activation Date,Baseline / Compared,Baseline Filter,Business Segment,Campaign,City,Compared Campaign,Country,Customer ID,Customer Name,Customer Type,Order ID,Product ID,Product Name,Region,Row ID,Signup Date,State,Sub-Category (group),Swipe Date,Discount,Revenue to Charge Ratio,Total Charge,Total Revenue,레코드 수
2011-01-14,,거짓,Commercial ,Exclusive Offers Campaign,Rach Gia,거짓,Vietnam,AG-10270,Alejandro Grove,Consumer,IN-2011-69366,OFF-BI-10003874,"Avery Index Tab, Clear",Southeast Asia,6888,2011-01-09,Kiên Giang,Business Platinum,2011-01-31,0.17,0.74%,9.6114,0.071400000,1
2011-01-14,,거짓,Commercial ,Exclusive Offers Campaign,Rach Gia,거짓,Vietnam,AG-10270,Alejandro Grove,Consumer,IN-2011-69366,OFF-LA-10000668,"Smead Removable Labels, Adjustable",Southeast Asia,6886,2011-01-09,Kiên Giang,Business Signature,2011-02-08,0.17,39.59%,45.1935,17.8935,1
2011-01-14,,거짓,Investment,Exclusive Offers Campaign,Rach Gia,거짓,Vietnam,AG-10270,Alejandro Grove,Consumer,IN-2011-69366,TEC-AC-10000354,"Belkin Numeric Keypad, USB",Southeast Asia,6887,2011-01-09,Kiên Giang,Rewards,2011-03-06,0.47,0.00%,176.6808,0,1
2011-01-14,,거짓,Investment,Exclusive Offers Campaign,Rach Gia,거짓,Vietnam,AG-10270,Alejandro Grove,Consumer,IN-2011-69366,TEC-PH-10003823,"Apple Headset, Full Size",Southeast Asia,6889,2011-01-09,Kiên Giang,Cash Back,2011-02-14,0.17,26.50%,123.753,32.793,1
2011-01-11,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Nanning,거짓,China,PO-18865,Patrick O'Donnell,Consumer,IN-2011-13065,OFF-BI-10002853,"Avery Binder Covers, Recycled",North Asia,7382,2011-01-10,Guangxi,Business Platinum,2011-03-11,0,46.98%,34.29,16.11,1
2011-01-11,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Nanning,거짓,China,PO-18865,Patrick O'Donnell,Consumer,IN-2011-13065,OFF-SU-10003559,"Kleencut Ruler, Steel",North Asia,7381,2011-01-10,Guangxi,Prestige,2011-01-24,0,20.83%,25.92,5.4,1
2011-01-11,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Brisbane,거짓,Australia,DL-12865,Dan Lawera,Consumer,IN-2011-61302,OFF-LA-10000879,"Hon File Folder Labels, Alphabetical",Oceania,7750,2011-01-10,Queensland,Business Signature,2011-03-06,0.1,39.72%,30.456,12.096,1
2011-01-11,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Brisbane,거짓,Australia,DL-12865,Dan Lawera,Consumer,IN-2011-61302,OFF-PA-10003731,"Enermax Note Cards, Premium",Oceania,7751,2011-01-10,Queensland,Prestige,2011-01-19,0.1,33.24%,161.514,53.694,1
2011-01-11,Baseline Campaign,참,Investment,Compare Cards Campaign,Brisbane,거짓,Australia,DL-12865,Dan Lawera,Consumer,IN-2011-61302,TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",Oceania,7752,2011-01-10,Queensland,Cash Back,2011-01-18,0.1,17.78%,2875.095,511.095,1
2011-01-15,Compared Campaign,거짓,Commercial ,Signup Bonus Campaign,Bangkok,참,Thailand,BD-11605,Brian Dahlen,Consumer,ID-2011-13660,OFF-FA-10003615,"Stockwell Staples, Assorted Sizes",Southeast Asia,9131,2011-01-10,Bangkok,Business Signature,2011-03-16,0.47,0.00%,12.4974,0,1
2011-01-15,,거짓,Private,Exclusive Offers Campaign,Jammu,거짓,India,DV-13465,Dianna Vittorini,Consumer,IN-2011-29872,FUR-FU-10001471,"Eldon Door Stop, Durable",Central Asia,5276,2011-01-11,Jammu and Kashmir,Gold,2011-02-21,0,37.00%,141.57,52.38,1
2011-01-15,,거짓,Commercial ,Exclusive Offers Campaign,Dunedin,거짓,New Zealand,TN-21040,Tanja Norvell,Corporate,ID-2011-82589,OFF-EN-10000128,"GlobeWeis Interoffice Envelope, Set of 50",Oceania,10761,2011-01-11,Otago,Business Signature,2011-03-14,0.4,0.00%,114.768,0,1
2011-01-16,,거짓,Private,Exclusive Offers Campaign,Calamba,거짓,Philippines,SC-20680,Steve Carroll,Corporate,IN-2011-79761,FUR-FU-10000256,"Rubbermaid Photo Frame, Duo Pack",Southeast Asia,7880,2011-01-11,Calabarzon,Gold,2011-02-14,0.25,30.59%,77.715,23.775,1
2011-01-16,,거짓,Investment,Exclusive Offers Campaign,Calamba,거짓,Philippines,SC-20680,Steve Carroll,Corporate,IN-2011-79761,TEC-CO-10001895,"Sharp Wireless Fax, Color",Southeast Asia,7881,2011-01-11,Calabarzon,Rewards,2011-03-03,0.35,0.00%,696.852,0,1
2011-01-18,,거짓,Private,Exclusive Offers Campaign,Bekasi,거짓,Indonesia,DF-13135,David Flashing,Consumer,IN-2011-39308,FUR-FU-10001096,"Advantus Clock, Black",Southeast Asia,5618,2011-01-11,Jawa Barat,Gold,2011-02-20,0.27,1.32%,187.5735,2.473500000,1
2011-01-18,,거짓,Commercial ,Exclusive Offers Campaign,Bekasi,거짓,Indonesia,DF-13135,David Flashing,Consumer,IN-2011-39308,OFF-AR-10003613,"Sanford Canvas, Easy-Erase",Southeast Asia,5619,2011-01-11,Jawa Barat,Business Platinum,2011-02-10,0.27,4.04%,333.6903,13.4703,1
2011-01-18,,거짓,Commercial ,Exclusive Offers Campaign,Bekasi,거짓,Indonesia,DF-13135,David Flashing,Consumer,IN-2011-39308,OFF-BI-10004334,"Avery Hole Reinforcements, Durable",Southeast Asia,5617,2011-01-11,Jawa Barat,Business Platinum,2011-02-12,0.17,0.00%,4.9053,0,1
2011-01-18,,거짓,Investment,Exclusive Offers Campaign,Bekasi,거짓,Indonesia,DF-13135,David Flashing,Consumer,IN-2011-39308,TEC-PH-10002806,"Apple Audio Dock, VoIP",Southeast Asia,5616,2011-01-11,Jawa Barat,Cash Back,2011-01-27,0.17,7.23%,554.3736,40.0536,1
2011-01-17,,거짓,Commercial ,Exclusive Offers Campaign,Adelaide,거짓,Australia,CS-11845,Cari Sayre,Corporate,IN-2011-38349,OFF-LA-10002765,"Harbour Creations Legal Exhibit Labels, Adjustable",Oceania,3428,2011-01-13,South Australia,Business Signature,2011-03-01,0.1,2.07%,15.93,0.330000000,1
2011-01-21,,거짓,Private,Exclusive Offers Campaign,Manila,거짓,Philippines,MY-18295,Muhammed Yedwab,Corporate,ID-2011-16453,FUR-FU-10000944,"Tenex Door Stop, Black",Southeast Asia,3467,2011-01-14,National Capital,Gold,2011-02-12,0.25,0.00%,98.7525,0,1
2011-01-21,,거짓,Commercial ,Exclusive Offers Campaign,Manila,거짓,Philippines,MY-18295,Muhammed Yedwab,Corporate,ID-2011-16453,OFF-ST-10004015,"Smead Trays, Blue",Southeast Asia,3468,2011-01-14,National Capital,Prestige,2011-02-02,0.45,7.18%,79.992,5.742000000,1
2011-01-15,,거짓,Commercial ,Cashback Rewards Campaign,Denpasar,거짓,Indonesia,MC-18100,Mick Crebagga,Consumer,ID-2011-38832,OFF-AR-10000989,"Binney & Smith Canvas, Blue",Southeast Asia,9840,2011-01-15,Bali,Business Platinum,2011-01-19,0.27,0.00%,149.9712,0,1
2011-01-15,,거짓,Commercial ,Cashback Rewards Campaign,Denpasar,거짓,Indonesia,MC-18100,Mick Crebagga,Consumer,ID-2011-38832,OFF-AR-10000251,"Stanley Markers, Fluorescent",Southeast Asia,9841,2011-01-15,Bali,Business Platinum,2011-02-01,0.27,0.00%,51.3774,0,1
2011-01-18,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Geraldton,거짓,Australia,VM-21835,Vivian Mathis,Consumer,ID-2011-80538,OFF-BI-10001397,"Ibico Binder, Economy",Oceania,10337,2011-01-17,Western Australia,Business Platinum,2011-02-27,0.4,0.00%,37.152,0,1
2011-01-21,,거짓,Commercial ,Exclusive Offers Campaign,Wollongong,거짓,Australia,TW-21025,Tamara Willingham,Corporate,IN-2011-78501,OFF-AR-10004138,"Stanley Pens, Easy-Erase",Oceania,6846,2011-01-17,New South Wales,Business Platinum,2011-03-12,0.1,27.65%,18.576,5.136,1
2011-01-23,,거짓,Investment,Exclusive Offers Campaign,Yangon,거짓,Myanmar (Burma),PW-19030,Pauline Webber,Corporate,IN-2011-45020,TEC-CO-10004267,"Brother Ink, Laser",Southeast Asia,6845,2011-01-19,Yangon,Rewards,2011-02-23,0.37,0.00%,278.397,0,1
2011-01-24,Compared Campaign,거짓,Private,Signup Bonus Campaign,Perth,참,Australia,TR-21325,Toby Ritter,Consumer,IN-2011-43585,FUR-FU-10001096,"Advantus Clock, Black",Oceania,5178,2011-01-20,Western Australia,Gold,2011-03-14,0.1,19.96%,138.753,27.693,1
2011-01-25,,거짓,Commercial ,Exclusive Offers Campaign,Bangkok,거짓,Thailand,PW-19030,Pauline Webber,Corporate,ID-2011-63017,OFF-AR-10003110,"Sanford Sketch Pad, Water Color",Southeast Asia,546,2011-01-21,Bangkok,Business Platinum,2011-01-28,0.47,0.00%,51.5796,0,1
2011-01-23,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Caloundra,거짓,Australia,SS-20875,Sung Shariari,Consumer,ID-2011-86950,OFF-AR-10000751,"Binney & Smith Highlighters, Blue",Oceania,10543,2011-01-22,Queensland,Business Platinum,2011-02-12,0.4,0.00%,59.724,0,1
2011-01-23,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Caloundra,거짓,Australia,SS-20875,Sung Shariari,Consumer,ID-2011-86950,OFF-FA-10003816,"Stockwell Staples, Metal",Oceania,10542,2011-01-22,Queensland,Business Signature,2011-02-12,0.4,0.00%,6.318,0,1
2011-01-29,,거짓,Commercial ,Exclusive Offers Campaign,Medan,거짓,Indonesia,MW-18220,Mitch Webber,Consumer,IN-2011-64557,OFF-BI-10002885,"Avery Hole Reinforcements, Recycled",Southeast Asia,2064,2011-01-24,Sumatera Utara,Business Platinum,2011-03-17,0.17,35.59%,11.8773,4.2273,1
2011-01-29,,거짓,Investment,Exclusive Offers Campaign,Darwin,거짓,Australia,LC-16885,Lena Creighton,Consumer,IN-2011-20737,TEC-AC-10001438,"SanDisk Flash Drive, Programmable",Oceania,2677,2011-01-24,Northern Territory,Rewards,2011-01-30,0.1,7.73%,110.808,8.568000000,1
2011-01-30,,거짓,Private,Exclusive Offers Campaign,Wellington,거짓,New Zealand,JM-15580,Jill Matthias,Consumer,IN-2011-85459,FUR-FU-10000702,"Tenex Frame, Black",Oceania,10589,2011-01-24,Wellington,Gold,2011-03-29,0,3.98%,219.96,8.76,1
2011-01-30,,거짓,Commercial ,Exclusive Offers Campaign,Jabalpur,거짓,India,CC-12430,Chuck Clark,Corporate,IN-2011-10552,OFF-LA-10004430,"Avery Shipping Labels, Laser Printer Compatible",Central Asia,8096,2011-01-24,Madhya Pradesh,Business Signature,2011-03-19,0,46.84%,59.25,27.75,1
2011-01-30,,거짓,Commercial ,Exclusive Offers Campaign,Wellington,거짓,New Zealand,JM-15580,Jill Matthias,Consumer,IN-2011-85459,OFF-AR-10000340,"Boston Pens, Water Color",Oceania,10590,2011-01-24,Wellington,Business Platinum,2011-03-21,0,46.90%,139.2,65.28,1
2011-01-30,,거짓,Commercial ,Exclusive Offers Campaign,Wellington,거짓,New Zealand,JM-15580,Jill Matthias,Consumer,IN-2011-85459,OFF-EN-10003770,"Kraft Manila Envelope, with clear poly window",Oceania,10588,2011-01-24,Wellington,Business Signature,2011-02-16,0,34.97%,420.42,147,1
2011-01-27,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Wuxi,거짓,China,LW-17215,Luke Weiss,Consumer,IN-2011-53658,OFF-PA-10000453,"Xerox Cards & Envelopes, 8.5 x 11",North Asia,6313,2011-01-25,Hunan,Prestige,2011-03-13,0,34.94%,98.22,34.32,1
2011-01-27,Baseline Campaign,참,Private,Compare Cards Campaign,Depok,거짓,Indonesia,HK-14890,Heather Kirkland,Corporate,ID-2011-36011,FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Southeast Asia,115,2011-01-26,Jawa Barat,Premier Miles,2011-03-16,0.27,0.00%,334.3035,0,1
2011-01-28,Compared Campaign,거짓,Commercial ,Signup Bonus Campaign,Hyderabad,참,India,NM-18445,Nathan Mautz,Corporate,IN-2011-31496,OFF-PA-10000070,"Eaton Computer Printout Paper, Recycled",Central Asia,2996,2011-01-26,Telangana,Prestige,2011-02-24,0,31.97%,79.38,25.38,1
2011-01-31,,거짓,Commercial ,Exclusive Offers Campaign,Semarang,거짓,Indonesia,CA-12265,Christina Anderson,Consumer,IN-2011-15270,OFF-ST-10004365,"Fellowes Shelving, Wire Frame",Southeast Asia,7212,2011-01-26,Jawa Tengah,Prestige,2011-02-23,0.17,36.11%,141.7059,51.1659,1
2011-02-01,,거짓,Commercial ,Exclusive Offers Campaign,Hyderabad,거짓,India,AA-10645,Anna Andreadi,Consumer,IN-2011-76198,OFF-AR-10002256,"BIC Sketch Pad, Easy-Erase",Central Asia,6516,2011-01-26,Telangana,Business Platinum,2011-02-07,0,15.94%,342.51,54.6,1
2011-02-01,,거짓,Commercial ,Exclusive Offers Campaign,Shenzhen,거짓,China,PO-18865,Patrick O'Donnell,Consumer,IN-2011-50704,OFF-EN-10000328,"Kraft Business Envelopes, Set of 50",North Asia,8860,2011-01-27,Guangdong,Business Signature,2011-03-05,0,37.99%,39.96,15.18,1
2011-02-01,,거짓,Investment,Exclusive Offers Campaign,Jinan,거짓,China,KN-16450,Kean Nguyen,Corporate,IN-2011-33890,TEC-MA-10002931,"Okidata Calculator, Durable",North Asia,9885,2011-01-27,Shandong,Petrol ,2011-03-30,0,28.96%,366.87,106.26,1
2011-02-02,,거짓,Commercial ,Exclusive Offers Campaign,Samarinda,거짓,Indonesia,DB-13360,Dennis Bolton,Corporate,ID-2011-78102,OFF-EN-10004144,"Cameo Clasp Envelope, Security-Tint",Southeast Asia,8833,2011-01-27,Kalimantan Timur,Business Signature,2011-02-19,0.47,0.00%,82.0599,0,1
2011-01-31,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Semarang,거짓,Indonesia,MP-17965,Michael Paige,Corporate,ID-2011-42164,OFF-EN-10002472,"Cameo Interoffice Envelope, Security-Tint",Southeast Asia,2480,2011-01-28,Jawa Tengah,Business Signature,2011-03-19,0.47,0.00%,132.0495,0,1
2011-01-31,Baseline Campaign,참,Commercial ,Compare Cards Campaign,Semarang,거짓,Indonesia,MP-17965,Michael Paige,Corporate,ID-2011-42164,OFF-SU-10000375,"Kleencut Box Cutter, Steel",Southeast Asia,2481,2011-01-28,Jawa Tengah,Prestige,2011-02-15,0.47,0.00%,90.2325,0,1
2011-02-02,Compared Campaign,거짓,Investment,Signup Bonus Campaign,Gold Coast,참,Australia,JR-15700,Jocasta Rupert,Consumer,IN-2011-63990,TEC-CO-10002119,"Sharp Fax Machine, Digital",Oceania,2051,2011-01-28,Queensland,Rewards,2011-04-02,0.1,8.88%,531.522,47.202,1
2011-01-30,,거짓,Private,Cashback Rewards Campaign,Waitakere,거짓,New Zealand,HE-14800,Harold Engle,Corporate,ID-2011-80545,FUR-CH-10003618,"SAFCO Rocking Chair, Red",Oceania,10928,2011-01-30,Auckland,Premier Miles,2011-03-19,0.4,0.00%,161.892,0,1
2011-02-05,,거짓,Private,Exclusive Offers Campaign,Melbourne,거짓,Australia,LS-17200,Luke Schmidt,Corporate,IN-2011-32196,FUR-CH-10004065,"SAFCO Bag Chairs, Adjustable",Oceania,137,2011-01-31,Victoria,Premier Miles,2011-02-16,0.1,6.61%,373.896,24.696,1
2011-02-05,,거짓,Commercial ,Exclusive Offers Campaign,Singapore,거짓,Singapore,BD-11560,Brendan Dodson,Corporate,IN-2011-18070,OFF-BI-10000089,"Wilson Jones 3-Hole Punch, Recycled",Southeast Asia,6163,2011-01-31,Singapore,Business Platinum,2011-02-26,0,48.99%,113.4,55.56,1
2011-02-05,,거짓,Investment,Exclusive Offers Campaign,Melbourne,거짓,Australia,LS-17200,Luke Schmidt,Corporate,IN-2011-32196,TEC-MA-10002680,"Konica Inkjet, White",Oceania,138,2011-01-31,Victoria,Petrol ,2011-02-22,0.1,14.44%,838.593,121.113,1
2011-02-06,,거짓,Private,Exclusive Offers Campaign,Paraparaumu,거짓,New Zealand,TS-21610,Troy Staebel,Consumer,IN-2011-81833,FUR-TA-10002341,"Barricks Computer Table, Fully Assembled",Oceania,10291,2011-01-31,Wellington,Platinum,2011-03-26,0,27.00%,1917.24,517.56,1
2011-02-06,,거짓,Commercial ,Exclusive Offers Campaign,Chongqing,거짓,China,SF-20200,Sarah Foster,Consumer,IN-2011-72334,OFF-BI-10004181,"Avery 3-Hole Punch, Clear",North Asia,5132,2011-01-31,Chongqing,Business Platinum,2011-02-13,0,10.98%,163.98,18,1
2011-02-06,,거짓,Commercial ,Exclusive Offers Campaign,Paraparaumu,거짓,New Zealand,TS-21610,Troy Staebel,Consumer,IN-2011-81833,OFF-LA-10000757,"Harbour Creations Removable Labels, 5000 Label Set",Oceania,10294,2011-01-31,Wellington,Business Signature,2011-03-27,0,29.86%,62.1,18.54,1
2011-02-06,,거짓,Commercial ,Exclusive Offers Campaign,Paraparaumu,거짓,New Zealand,TS-21610,Troy Staebel,Consumer,IN-2011-81833,OFF-PA-10003232,"Eaton Parchment Paper, 8.5 x 11",Oceania,10293,2011-01-31,Wellington,Prestige,2011-04-01,0,46.00%,105.66,48.6,1
2011-02-06,,거짓,Commercial ,Exclusive Offers Campaign,Paraparaumu,거짓,New Zealand,TS-21610,Troy Staebel,Consumer,IN-2011-81833,OFF-PA-10002976,"Xerox Computer Printout Paper, 8.5 x 11",Oceania,10292,2011-01-31,Wellington,Prestige,2011-02-24,0,26.97%,121.92,32.88,1
